
  ============================================================
  Heat Equation - PCG
  Preconditioner: Identity
  Maximum Iterations: 10000
  Tolerance: 1.0e-10 (Relative)
  ============================================================
  Iter    Res[T]          Elapsed   
  ----------------------------------
  0       1.0000e+00      0.000s
  1       7.3198e-01      0.020s
  2       5.8002e-01      0.043s
  3       4.0499e-01      0.065s
  4       3.9876e-01      0.091s
  5       2.5736e-01      0.115s
  6       3.1146e-01      0.138s
  7       2.1644e-01      0.161s
  8       1.9128e-01      0.186s
  9       1.9077e-01      0.209s
  10      1.5706e-01      0.232s
  11      1.4995e-01      0.257s
  12      1.4662e-01      0.280s
  13      1.4815e-01      0.304s
  14      1.5370e-01      0.324s
  15      1.0959e-01      0.347s
  16      1.2332e-01      0.370s
  17      1.2244e-01      0.393s
  18      1.1566e-01      0.415s
  19      9.3996e-02      0.437s
  20      9.5479e-02      0.459s
  21      9.7149e-02      0.484s
  22      8.8671e-02      0.509s
  23      8.0947e-02      0.532s
  24      8.5215e-02      0.554s
  25      8.8024e-02      0.577s
  26      7.3395e-02      0.601s
  27      6.7963e-02      0.627s
  28      8.0239e-02      0.650s
  29      6.9804e-02      0.673s
  30      6.3379e-02      0.697s
  31      6.4009e-02      0.721s
  32      7.2487e-02      0.744s
  33      5.4675e-02      0.766s
  34      6.0102e-02      0.786s
  35      6.0738e-02      0.808s
  36      6.0907e-02      0.830s
  37      5.0665e-02      0.853s
  38      5.9817e-02      0.878s
  39      5.8441e-02      0.902s
  40      5.4746e-02      0.925s
  41      5.0717e-02      0.948s
  42      4.9275e-02      0.970s
  43      5.2791e-02      0.992s
  44      4.1416e-02      1.016s
  45      4.0091e-02      1.041s
  46      4.0534e-02      1.064s
  47      3.0896e-02      1.084s
  48      1.8906e-02      1.107s
  49      1.3213e-02      1.129s
  50      9.3079e-03      1.154s
  51      5.5302e-03      1.176s
  52      3.3652e-03      1.201s
  53      1.7143e-03      1.225s
  54      8.8778e-04      1.250s
  55      4.9354e-04      1.273s
  56      2.4918e-04      1.296s
  57      1.5047e-04      1.319s
  58      9.0137e-05      1.344s
  59      4.1753e-05      1.368s
  60      2.4593e-05      1.393s
  61      1.4710e-05      1.416s
  62      1.0766e-05      1.440s
  63      8.1864e-06      1.462s
  64      4.9063e-06      1.488s
  65      2.8011e-06      1.513s
  66      1.5656e-06      1.537s
  67      9.4819e-07      1.560s
  68      6.2879e-07      1.584s
  69      3.8418e-07      1.607s
  70      2.4229e-07      1.632s
  71      1.4319e-07      1.654s
  72      8.5732e-08      1.678s
  73      5.0269e-08      1.702s
  74      2.8263e-08      1.727s
  75      1.8831e-08      1.752s
  76      1.2619e-08      1.776s
  77      8.5383e-09      1.798s
  78      5.6659e-09      1.822s
  79      3.4024e-09      1.845s
  80      1.9002e-09      1.870s
  81      9.4577e-10      1.894s
  82      5.5562e-10      1.919s
  83      2.8538e-10      1.941s
  84      1.7182e-10      1.966s
  85      9.9965e-11      1.989s
  [PCG] converged: 85 iterations, res[T] 9.9965e-11, avg 1.06e+05 flops/iter, 1.989s
