tick,time,net_influx [W]
0,0,9200
1,0.02,3512.7
2,0.04,2115.54
3,0.06,1538.95
4,0.08,1219.98
5,0.1,1012.83
6,0.12,864.755
7,0.14,752.027
8,0.16,662.308
9,0.18,588.527
10,0.2,526.336
11,0.22,472.918
12,0.24,426.371
13,0.26,385.366
14,0.28,348.942
15,0.3,316.385
16,0.32,287.148
17,0.34,260.802
18,0.36,236.998
19,0.38,215.451
20,0.4,195.918
21,0.42,178.193
22,0.44,162.097
23,0.46,147.472
24,0.48,134.177
25,0.5,122.088
26,0.52,111.093
27,0.54,101.091
28,0.56,91.9925
29,0.58,83.7141
30,0.6,76.1816
31,0.62,69.3275
32,0.64,63.0905
33,0.66,57.4149
34,0.68,52.2501
35,0.7,47.55
36,0.72,43.2728
37,0.74,39.3804
38,0.76,35.8381
39,0.78,32.6145
40,0.8,29.6809
41,0.82,27.0112
42,0.84,24.5816
43,0.86,22.3705
44,0.88,20.3584
45,0.9,18.5272
46,0.92,16.8607
47,0.94,15.3441
48,0.96,13.964
49,0.98,12.708
50,1,11.5649
51,1.02,10.5247
52,1.04,9.57802
53,1.06,8.71651
54,1.08,7.93248
55,1.1,7.21898
56,1.12,6.56965
57,1.14,5.97873
58,1.16,5.44096
59,1.18,4.95157
60,1.2,4.50619
61,1.22,4.10087
62,1.24,3.73201
63,1.26,3.39633
64,1.28,3.09084
65,1.3,2.81283
66,1.32,2.55982
67,1.34,2.32957
68,1.36,2.12003
69,1.38,1.92934
70,1.4,1.75581
71,1.42,1.59788
72,1.44,1.45415
73,1.46,1.32336
74,1.48,1.20432
75,1.5,1.096
76,1.52,0.997417
77,1.54,0.907702
78,1.56,0.826057
79,1.58,0.751756
80,1.6,0.684138
81,1.62,0.622601
82,1.64,0.5666
83,1.66,0.515636
84,1.68,0.469256
85,1.7,0.427048
86,1.72,0.388637
87,1.74,0.35368
88,1.76,0.321867
89,1.78,0.292916
90,1.8,0.26657
91,1.82,0.242592
92,1.84,0.220772
93,1.86,0.200914
94,1.88,0.182843
95,1.9,0.166396
96,1.92,0.15143
97,1.94,0.137809
98,1.96,0.125413
99,1.98,0.114133
100,2,0.103867
