
  ============================================================
  Heat Equation - PCG
  Preconditioner: Identity
  Maximum Iterations: 10000
  Tolerance: 1.0e-10 (Relative)
  ============================================================
  Iter    Res[T]          Elapsed   
  ----------------------------------
  0       1.0000e+00      0.000s
  1       4.2128e-01      0.007s
  2       2.1658e-01      0.013s
  3       1.1674e-01      0.019s
  4       6.3743e-02      0.025s
  5       3.4980e-02      0.031s
  6       1.9216e-02      0.037s
  7       1.0555e-02      0.043s
  8       5.8023e-03      0.050s
  9       3.1890e-03      0.057s
  10      1.7523e-03      0.063s
  11      1.2850e-03      0.069s
  12      2.7473e-04      0.075s
  13      1.3619e-04      0.081s
  14      6.8105e-05      0.087s
  15      3.1304e-05      0.093s
  16      1.4392e-05      0.099s
  17      6.5217e-06      0.106s
  18      3.0564e-06      0.112s
  19      1.3576e-06      0.118s
  20      5.4026e-07      0.125s
  21      1.9138e-07      0.131s
  22      5.2143e-08      0.136s
  23      1.7750e-08      0.143s
  24      4.7891e-09      0.149s
  25      1.4124e-09      0.155s
  26      4.5643e-10      0.161s
  27      1.6557e-10      0.167s
  28      5.8251e-11      0.173s
  [PCG] converged: 28 iterations, res[T] 5.8251e-11, avg 2.37e+04 flops/iter, 0.173s
  0       2.0966e-01      0.210s
  1       1.2888e-01      0.216s
  2       7.1555e-02      0.223s
  3       3.9396e-02      0.229s
  4       2.1667e-02      0.235s
  5       1.1931e-02      0.241s
  6       6.5959e-03      0.247s
  7       3.6781e-03      0.254s
  8       2.0857e-03      0.260s
  9       1.2050e-03      0.266s
  10      6.6282e-04      0.272s
  11      2.0412e-04      0.279s
  12      7.2252e-05      0.285s
  13      3.1115e-05      0.291s
  14      1.4579e-05      0.297s
  15      6.8121e-06      0.302s
  16      2.9646e-06      0.309s
  17      1.3750e-06      0.315s
  18      5.6236e-07      0.321s
  19      2.0107e-07      0.327s
  20      6.7986e-08      0.333s
  21      1.8907e-08      0.339s
  22      7.1179e-09      0.346s
  23      1.7596e-09      0.352s
  24      5.0559e-10      0.358s
  25      1.7794e-10      0.364s
  26      6.7860e-11      0.370s
  27      2.2003e-11      0.377s
  28      6.3200e-12      0.383s
  [PCG] converged: 28 iterations, res[T] 6.3200e-12, avg 4.74e+04 flops/iter, 0.383s
  0       1.0528e-01      0.419s
  1       4.4130e-02      0.425s
  2       2.4292e-02      0.431s
  3       1.3503e-02      0.437s
  4       7.5196e-03      0.443s
  5       4.2054e-03      0.449s
  6       2.3558e-03      0.455s
  7       1.2953e-03      0.461s
  8       6.6300e-04      0.467s
  9       2.8631e-04      0.473s
  10      9.2460e-05      0.479s
  11      3.7405e-05      0.484s
  12      2.3789e-05      0.490s
  13      7.7722e-06      0.496s
  14      2.9313e-06      0.502s
  15      1.3377e-06      0.508s
  16      6.0853e-07      0.514s
  17      2.1241e-07      0.519s
  18      7.6037e-08      0.525s
  19      2.4599e-08      0.531s
  20      6.7632e-09      0.537s
  21      2.4476e-09      0.543s
  22      6.5215e-10      0.548s
  23      2.0231e-10      0.554s
  24      7.0764e-11      0.560s
  25      2.5199e-11      0.566s
  26      8.2343e-12      0.572s
  [PCG] converged: 26 iterations, res[T] 8.2343e-12, avg 7.48e+04 flops/iter, 0.572s
  0       7.2541e-02      0.610s
  1       1.9176e-02      0.616s
  2       8.8729e-03      0.623s
  3       4.7570e-03      0.629s
  4       2.6015e-03      0.636s
  5       1.3821e-03      0.643s
  6       6.8522e-04      0.649s
  7       3.0420e-04      0.656s
  8       1.1687e-04      0.663s
  9       4.1878e-05      0.669s
  10      2.2002e-05      0.675s
  11      1.2626e-05      0.681s
  12      3.2732e-06      0.687s
  13      2.0365e-06      0.693s
  14      7.0966e-07      0.699s
  15      2.3157e-07      0.705s
  16      8.0511e-08      0.711s
  17      2.9491e-08      0.716s
  18      8.3703e-09      0.722s
  19      2.5786e-09      0.729s
  20      8.5169e-10      0.734s
  21      2.4120e-10      0.740s
  22      7.1163e-11      0.746s
  23      2.8281e-11      0.752s
  24      1.0383e-11      0.758s
  25      3.1114e-12      0.764s
  [PCG] converged: 25 iterations, res[T] 3.1114e-12, avg 1.02e+05 flops/iter, 0.764s
  0       5.6708e-02      0.797s
  1       1.0628e-02      0.803s
  2       3.6930e-03      0.809s
  3       1.6216e-03      0.815s
  4       7.3834e-04      0.820s
  5       3.2197e-04      0.827s
  6       1.2978e-04      0.832s
  7       4.9267e-05      0.838s
  8       2.1222e-05      0.844s
  9       1.2612e-05      0.850s
  10      5.6386e-06      0.855s
  11      1.6212e-06      0.861s
  12      1.0037e-06      0.867s
  13      2.7225e-07      0.874s
  14      1.4367e-07      0.880s
  15      3.9250e-08      0.886s
  16      1.0035e-08      0.892s
  17      3.0889e-09      0.898s
  18      9.6527e-10      0.904s
  19      2.9048e-10      0.910s
  20      9.5267e-11      0.915s
  21      2.6182e-11      0.921s
  22      1.1142e-11      0.927s
  23      3.6124e-12      0.933s
  [PCG] converged: 23 iterations, res[T] 3.6124e-12, avg 1.34e+05 flops/iter, 0.933s
  0       4.7316e-02      0.970s
  1       6.7066e-03      0.977s
  2       1.6292e-03      0.983s
  3       4.9889e-04      0.990s
  4       1.6818e-04      0.996s
  5       5.9085e-05      1.003s
  6       2.3066e-05      1.010s
  7       1.1716e-05      1.016s
  8       6.4845e-06      1.023s
  9       2.3588e-06      1.029s
  10      7.7625e-07      1.036s
  11      4.5583e-07      1.043s
  12      1.3309e-07      1.048s
  13      5.6527e-08      1.056s
  14      1.3402e-08      1.062s
  15      6.0582e-09      1.068s
  16      1.3969e-09      1.075s
  17      3.2284e-10      1.081s
  18      1.1058e-10      1.087s
  19      3.5146e-11      1.093s
  20      9.9672e-12      1.099s
  21      4.4718e-12      1.104s
  [PCG] converged: 21 iterations, res[T] 4.4718e-12, avg 1.71e+05 flops/iter, 1.105s
  0       4.0984e-02      1.137s
  1       4.4495e-03      1.143s
  2       7.2113e-04      1.149s
  3       1.4675e-04      1.155s
  4       3.7487e-05      1.161s
  5       1.3254e-05      1.166s
  6       6.6592e-06      1.172s
  7       3.0223e-06      1.177s
  8       9.7992e-07      1.183s
  9       3.6743e-07      1.189s
  10      2.0487e-07      1.195s
